Area Name,Occupational Code,Occupational Title,Estimated Employment,Pay Type,Mean Wage,Entry Wage,Experienced Wage,10th Percentile Wage,25th Percentile Wage,Median Wage,75th Percentile Wage,90th Percentile Wage
Iowa,13-1031,"Claims Adjusters, Examiners, and Investigators",3290,Annual wage,64637.00,43998.00,74957.00,40509.00,49848.00,63627.00,78938.00,92201.00
Iowa,13-1032,"Insurance Appraisers, Auto Damage",,Hourly wage,26.48,17.26,31.09,16.60,18.51,27.54,32.53,37.87
Iowa,13-1032,"Insurance Appraisers, Auto Damage",,Annual wage,55082.00,35911.00,64667.00,34528.00,38503.00,57291.00,67660.00,78766.00
Iowa,13-1041,Compliance Officers,2870,Hourly wage,32.00,22.46,36.77,20.28,25.46,30.55,37.77,47.23
Iowa,13-1041,Compliance Officers,2870,Annual wage,66562.00,46719.00,76484.00,42180.00,52962.00,63550.00,78569.00,98234.00
Iowa,13-1051,Cost Estimators,2440,Hourly wage,33.53,21.15,39.72,18.50,24.65,30.97,38.22,47.21
Iowa,13-1051,Cost Estimators,2440,Annual wage,69745.00,43986.00,82624.00,38473.00,51265.00,64424.00,79499.00,98197.00
Iowa,13-1071,Human Resources Specialists,5950,Hourly wage,29.06,18.76,34.20,16.89,21.31,27.35,35.47,44.60
Iowa,13-1071,Human Resources Specialists,5950,Annual wage,60435.00,39028.00,71138.00,35136.00,44335.00,56888.00,73776.00,92778.00
Iowa,13-1075,Labor Relations Specialists,600,Hourly wage,31.82,12.29,41.59,8.50,17.70,33.00,44.81,51.83
Iowa,13-1075,Labor Relations Specialists,600,Annual wage,66196.00,25566.00,86511.00,17683.00,36819.00,68639.00,93205.00,107796.00
Iowa,13-1081,Logisticians,1640,Hourly wage,32.17,20.80,37.85,19.19,23.53,30.86,39.20,47.95
Iowa,13-1081,Logisticians,1640,Annual wage,66914.00,43270.00,78735.00,39906.00,48951.00,64181.00,81536.00,99743.00
Iowa,13-1111,Management Analysts,5740,Hourly wage,40.69,26.14,47.96,24.62,30.11,38.19,48.10,60.43
Iowa,13-1111,Management Analysts,5740,Annual wage,84636.00,54375.00,99767.00,51214.00,62626.00,79432.00,100044.00,125700.00
Iowa,13-1121,"Meeting, Convention, and Event Planners",880,Hourly wage,23.81,14.65,28.39,13.23,16.96,21.81,28.40,37.54
Iowa,13-1121,"Meeting, Convention, and Event Planners",880,Annual wage,49525.00,30474.00,59051.00,27524.00,35286.00,45354.00,59065.00,78087.00
Iowa,13-1131,Fundraisers,860,Hourly wage,26.76,17.20,31.54,15.80,19.73,26.12,31.69,41.01
Iowa,13-1131,Fundraisers,860,Annual wage,55669.00,35786.00,65611.00,32861.00,41041.00,54333.00,65921.00,85296.00
Iowa,13-1141,"Compensation, Benefits, and Job Analysis Specialists",760,Hourly wage,33.93,22.47,39.66,20.24,25.80,32.53,42.03,50.33
Iowa,13-1141,"Compensation, Benefits, and Job Analysis Specialists",760,Annual wage,70571.00,46744.00,82485.00,42108.00,53659.00,67657.00,87421.00,104695.00
Iowa,13-1151,Training and Development Specialists,3880,Hourly wage,27.74,16.64,33.29,13.86,19.78,26.27,34.67,43.10
Iowa,13-1151,Training and Development Specialists,3880,Annual wage,57703.00,34620.00,69245.00,28833.00,41143.00,54638.00,72117.00,89655.00
Iowa,13-1161,Market Research Analysts and Marketing Specialists,6090,Hourly wage,31.06,17.97,37.60,16.16,21.16,28.30,38.26,50.20
Iowa,13-1161,Market Research Analysts and Marketing Specialists,6090,Annual wage,64595.00,37376.00,78205.00,33621.00,44022.00,58855.00,79571.00,104421.00
Iowa,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",10410,Hourly wage,34.70,21.27,41.41,18.92,25.14,32.60,42.45,53.72
Iowa,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",10410,Annual wage,72168.00,44240.00,86132.00,39354.00,52301.00,67801.00,88305.00,111743.00
Iowa,13-2011,Accountants and Auditors,10340,Hourly wage,34.56,23.13,40.27,21.03,25.80,31.11,39.82,50.73
Iowa,13-2011,Accountants and Auditors,10340,Annual wage,71875.00,48103.00,83762.00,43745.00,53659.00,64708.00,82821.00,105520.00
Iowa,13-2020,Property Appraisers and Assessors,940,Hourly wage,30.97,21.54,35.69,20.90,23.76,29.29,35.97,42.31
Iowa,13-2020,Property Appraisers and Assessors,940,Annual wage,64426.00,44811.00,74234.00,43476.00,49418.00,60921.00,74817.00,87996.00
Iowa,13-2031,Budget Analysts,460,Hourly wage,37.55,26.45,43.10,25.44,28.98,35.75,44.47,55.81
Iowa,13-2031,Budget Analysts,460,Annual wage,78100.00,55009.00,89645.00,52908.00,60281.00,74363.00,92489.00,116091.00
Iowa,13-2041,Credit Analysts,1080,Hourly wage,42.12,24.84,50.77,22.45,28.42,39.84,52.11,65.09
Iowa,13-2041,Credit Analysts,1080,Annual wage,87619.00,51667.00,105594.00,46690.00,59120.00,82860.00,108397.00,135384.00
Iowa,13-2052,Personal Financial Advisors,1740,Hourly wage,42.39,17.52,54.83,15.58,21.45,31.95,45.03,91.05
Iowa,13-2052,Personal Financial Advisors,1740,Annual wage,88177.00,36439.00,114046.00,32406.00,44623.00,66446.00,93670.00,189381.00
Iowa,13-2053,Insurance Underwriters,1890,Hourly wage,33.65,22.54,39.20,20.93,24.49,31.25,40.29,50.19
Iowa,13-2053,Insurance Underwriters,1890,Annual wage,69991.00,46886.00,81544.00,43534.00,50945.00,65006.00,83807.00,104390.00
Iowa,13-2061,Financial Examiners,1060,Hourly wage,34.66,18.19,42.90,16.39,20.43,32.39,45.85,58.43
Iowa,13-2061,Financial Examiners,1060,Annual wage,72097.00,37842.00,89225.00,34099.00,42484.00,67370.00,95374.00,121529.00
Iowa,13-2071,Credit Counselors,480,Hourly wage,22.05,15.31,25.42,13.96,16.48,20.32,24.94,32.80
Iowa,13-2071,Credit Counselors,480,Annual wage,45866.00,31836.00,52881.00,29042.00,34282.00,42262.00,51875.00,68226.00
Iowa,13-2072,Loan Officers,4230,Hourly wage,34.47,21.10,41.16,20.01,23.96,32.12,42.39,51.92
Iowa,13-2072,Loan Officers,4230,Annual wage,71704.00,43897.00,85608.00,41615.00,49832.00,66808.00,88174.00,107994.00
Iowa,13-2081,"Tax Examiners and Collectors, and Revenue Agents",200,Hourly wage,32.20,21.71,37.44,20.75,23.95,29.83,38.92,51.17
Iowa,13-2081,"Tax Examiners and Collectors, and Revenue Agents",200,Annual wage,66967.00,45153.00,77874.00,43157.00,49817.00,62053.00,80951.00,106434.00
Iowa,13-2082,Tax Preparers,390,Hourly wage,22.65,14.12,26.92,12.16,15.93,19.40,29.45,36.52
Iowa,13-2082,Tax Preparers,390,Annual wage,47120.00,29362.00,55999.00,25284.00,33138.00,40345.00,61255.00,75962.00
Iowa,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",4500,Hourly wage,39.50,24.76,46.87,22.31,27.98,35.93,46.59,58.96
Iowa,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",4500,Annual wage,82154.00,51496.00,97482.00,46395.00,58199.00,74728.00,96903.00,122639.00
Iowa,15-0000,Computer and Mathematical Occupations,38190,Hourly wage,39.33,23.26,47.37,20.61,27.80,38.20,49.55,61.10
Iowa,15-0000,Computer and Mathematical Occupations,38190,Annual wage,81811.00,48377.00,98528.00,42878.00,57831.00,79448.00,103061.00,127093.00
Iowa,15-1211,Computer Systems Analysts,6400,Hourly wage,41.84,29.40,48.06,26.67,33.43,41.58,50.09,59.38
Iowa,15-1211,Computer Systems Analysts,6400,Annual wage,87022.00,61157.00,99955.00,55473.00,69542.00,86482.00,104183.00,123520.00
Iowa,15-1212,Information Security Analysts,890,Hourly wage,41.26,27.86,47.95,25.98,31.11,39.02,49.88,61.65
Iowa,15-1212,Information Security Analysts,890,Annual wage,85813.00,57952.00,99744.00,54042.00,64705.00,81156.00,103748.00,128222.00
Iowa,15-1221,Computer and Information Research Scientists,70,Hourly wage,52.50,33.09,62.21,27.33,31.16,58.83,64.70,68.36
Iowa,15-1221,Computer and Information Research Scientists,70,Annual wage,109206.00,68835.00,129391.00,56844.00,64823.00,122366.00,134568.00,142181.00
Iowa,15-1231,Computer Network Support Specialists,2020,Hourly wage,28.52,20.53,32.52,19.89,22.74,27.70,33.14,39.74
Iowa,15-1231,Computer Network Support Specialists,2020,Annual wage,59326.00,42709.00,67634.00,41378.00,47307.00,57609.00,68933.00,82653.00
Iowa,15-1232,Computer User Support Specialists,5630,Hourly wage,24.29,16.39,28.24,15.25,18.80,23.04,28.67,36.47
Iowa,15-1232,Computer User Support Specialists,5630,Annual wage,50523.00,34084.00,58743.00,31714.00,39102.00,47932.00,59640.00,75863.00
Iowa,15-1241,Computer Network Architects,1510,Hourly wage,49.35,32.99,57.52,30.36,36.58,47.21,61.09,74.56
Iowa,15-1241,Computer Network Architects,1510,Annual wage,102639.00,68622.00,119648.00,63155.00,76090.00,98203.00,127071.00,155075.00
Iowa,15-1244,Network and Computer Systems Administrators,3080,Hourly wage,37.38,26.31,42.91,24.51,29.51,36.48,44.96,52.35
Iowa,15-1244,Network and Computer Systems Administrators,3080,Annual wage,77748.00,54732.00,89256.00,50991.00,61377.00,75869.00,93513.00,108881.00
Iowa,15-1245,Database Administrators and Architects,840,Hourly wage,46.60,29.85,54.97,26.35,35.85,47.59,57.92,65.96
Iowa,15-1245,Database Administrators and Architects,840,Annual wage,96924.00,62082.00,114346.00,54808.00,74563.00,98982.00,120480.00,137198.00
Iowa,15-1251,Computer Programmers,1470,Hourly wage,35.25,21.58,42.08,18.38,27.05,36.18,44.97,49.92
Iowa,15-1251,Computer Programmers,1470,Annual wage,73314.00,44884.00,87530.00,38227.00,56259.00,75260.00,93537.00,103825.00
Iowa,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,11110,Hourly wage,47.09,32.53,54.37,30.15,37.23,46.53,57.18,66.50
Iowa,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,11110,Annual wage,97953.00,67663.00,113098.00,62709.00,77430.00,96778.00,118932.00,138328.00
Iowa,15-1257,Web Developers and Digital Interface Designers,1330,Hourly wage,31.57,18.65,38.02,16.55,21.90,28.54,38.52,51.75
Iowa,15-1257,Web Developers and Digital Interface Designers,1330,Annual wage,65656.00,38789.00,79089.00,34431.00,45559.00,59361.00,80115.00,107637.00
Iowa,15-1299,"Computer Occupations, All Other",1570,Hourly wage,36.60,21.83,43.98,18.65,26.79,35.43,45.07,55.31
Iowa,15-1299,"Computer Occupations, All Other",1570,Annual wage,76123.00,45407.00,91481.00,38796.00,55714.00,73698.00,93736.00,115051.00
Iowa,15-2011,Actuaries,430,Hourly wage,55.17,36.25,64.64,33.69,39.61,51.00,69.35,81.68
Iowa,15-2011,Actuaries,430,Annual wage,114763.00,75403.00,134443.00,70078.00,82395.00,106071.00,144247.00,169888.00
Iowa,15-2031,Operations Research Analysts,470,Hourly wage,42.13,25.22,50.59,22.59,28.91,38.94,53.04,68.58
Iowa,15-2031,Operations Research Analysts,470,Annual wage,87632.00,52449.00,105224.00,46996.00,60138.00,80998.00,110326.00,142646.00
Iowa,15-2041,Statisticians,650,Hourly wage,30.55,16.18,37.74,15.63,18.11,26.54,39.34,53.00
Iowa,15-2041,Statisticians,650,Annual wage,63544.00,33644.00,78493.00,32516.00,37661.00,55206.00,81831.00,110239.00
Iowa,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",710,Hourly wage,45.98,33.02,52.45,31.24,36.88,45.37,54.18,63.75
Iowa,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",710,Annual wage,95631.00,68681.00,109106.00,64974.00,76710.00,94367.00,112687.00,132591.00
Iowa,17-0000,Architecture and Engineering Occupations,22310,Hourly wage,36.99,23.88,43.54,21.44,27.36,35.22,44.70,55.02
Iowa,17-0000,Architecture and Engineering Occupations,22310,Annual wage,76936.00,49662.00,90572.00,44599.00,56904.00,73263.00,92967.00,114444.00
Iowa,17-1011,"Architects, Except Landscape and Naval",700,Hourly wage,33.77,23.34,38.99,21.55,25.53,31.75,39.24,49.36
Iowa,17-1011,"Architects, Except Landscape and Naval",700,Annual wage,70250.00,48547.00,81102.00,44816.00,53107.00,66043.00,81626.00,102672.00
Iowa,17-1012,Landscape Architects,180,Hourly wage,30.96,19.00,36.94,16.82,21.71,29.45,40.53,48.44
Iowa,17-1012,Landscape Architects,180,Annual wage,64400.00,39514.00,76843.00,34980.00,45159.00,61257.00,84304.00,100763.00
Iowa,17-1021,Cartographers and Photogrammetrists,70,Hourly wage,35.08,22.75,41.24,21.19,24.46,33.07,41.36,57.53
Iowa,17-1021,Cartographers and Photogrammetrists,70,Annual wage,72960.00,47323.00,85778.00,44078.00,50873.00,68783.00,86036.00,119663.00
Iowa,17-1022,Surveyors,320,Hourly wage,32.10,24.07,36.11,21.78,26.87,31.47,37.65,43.89
Iowa,17-1022,Surveyors,320,Annual wage,66766.00,50061.00,75119.00,45296.00,55896.00,65466.00,78318.00,91292.00
Iowa,17-2011,Aerospace Engineers,30,Hourly wage,49.50,34.54,56.98,32.60,35.43,41.71,66.44,74.93
Iowa,17-2011,Aerospace Engineers,30,Annual wage,102956.00,71842.00,118513.00,67807.00,73686.00,86747.00,138205.00,155859.00
Iowa,17-2021,Agricultural Engineers,80,Hourly wage,38.98,25.13,45.90,22.81,27.60,35.93,46.65,63.62
Iowa,17-2021,Agricultural Engineers,80,Annual wage,81075.00,52267.00,95479.00,47441.00,57409.00,74724.00,97030.00,132326.00
Iowa,17-2031,Bioengineers and Biomedical Engineers,110,Hourly wage,37.22,30.45,40.61,27.94,32.86,36.85,41.38,48.56
Iowa,17-2031,Bioengineers and Biomedical Engineers,110,Annual wage,77418.00,63331.00,84462.00,58116.00,68343.00,76658.00,86076.00,101015.00
Iowa,17-2041,Chemical Engineers,170,Hourly wage,54.24,38.66,62.04,34.98,41.96,50.01,61.63,78.73
Iowa,17-2041,Chemical Engineers,170,Annual wage,112828.00,80409.00,129038.00,72753.00,87276.00,104023.00,128188.00,163768.00
Iowa,17-2051,Civil Engineers,2100,Hourly wage,41.65,28.58,48.19,26.15,31.72,40.99,49.28,59.22
Iowa,17-2051,Civil Engineers,2100,Annual wage,86642.00,59446.00,100240.00,54399.00,65976.00,85253.00,102494.00,123180.00
Iowa,17-2061,Computer Hardware Engineers,270,Hourly wage,41.38,24.61,49.77,22.58,28.28,38.47,54.83,65.48
Iowa,17-2061,Computer Hardware Engineers,270,Annual wage,86068.00,51181.00,103511.00,46972.00,58831.00,80023.00,114037.00,136195.00
Iowa,17-2071,Electrical Engineers,1440,Hourly wage,48.30,34.06,55.42,32.49,37.76,46.80,58.18,70.57
Iowa,17-2071,Electrical Engineers,1440,Annual wage,100471.00,70852.00,115280.00,67578.00,78536.00,97336.00,121016.00,146789.00
Iowa,17-2072,"Electronics Engineers, Except Computer",410,Hourly wage,41.17,30.78,46.36,27.94,33.29,39.86,48.43,57.53
Iowa,17-2072,"Electronics Engineers, Except Computer",410,Annual wage,85623.00,64016.00,96427.00,58115.00,69234.00,82905.00,100735.00,119671.00
Iowa,17-2081,Environmental Engineers,300,Hourly wage,41.26,31.99,45.89,29.34,34.12,40.48,48.19,53.75
Iowa,17-2081,Environmental Engineers,300,Annual wage,85811.00,66529.00,95451.00,61036.00,70968.00,84195.00,100235.00,111798.00
Iowa,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",140,Hourly wage,40.42,32.14,44.56,29.36,34.10,39.67,47.00,52.68
Iowa,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",140,Annual wage,84067.00,66845.00,92679.00,61071.00,70927.00,82510.00,97756.00,109577.00
Iowa,17-2112,Industrial Engineers,3120,Hourly wage,40.65,30.21,45.87,27.52,32.90,38.55,47.69,57.70
Iowa,17-2112,Industrial Engineers,3120,Annual wage,84547.00,62832.00,95404.00,57240.00,68431.00,80179.00,99199.00,120020.00
Iowa,17-2131,Materials Engineers,250,Hourly wage,45.11,33.31,51.01,31.18,36.14,42.72,53.16,61.89
Iowa,17-2131,Materials Engineers,250,Annual wage,93830.00,69288.00,106101.00,64844.00,75174.00,88861.00,110563.00,128721.00
Iowa,17-2141,Mechanical Engineers,3420,Hourly wage,41.02,28.73,47.16,26.17,32.00,38.84,48.09,59.40
Iowa,17-2141,Mechanical Engineers,3420,Annual wage,85316.00,59759.00,98095.00,54427.00,66562.00,80777.00,100032.00,123559.00
Iowa,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",20,Hourly wage,44.42,33.18,50.04,32.47,36.07,43.32,54.82,61.50
Iowa,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",20,Annual wage,92395.00,69013.00,104086.00,67530.00,75033.00,90109.00,114022.00,127919.00
Iowa,17-2199,"Engineers, All Other",1510,Hourly wage,41.77,28.29,48.50,26.02,32.09,38.90,47.43,58.87
Iowa,17-2199,"Engineers, All Other",1510,Annual wage,86874.00,58844.00,100890.00,54119.00,66749.00,80906.00,98658.00,122445.00
Iowa,17-3011,Architectural and Civil Drafters,1010,Hourly wage,27.10,19.28,31.01,17.47,21.76,26.92,31.38,37.61
Iowa,17-3011,Architectural and Civil Drafters,1010,Annual wage,56367.00,40101.00,64500.00,36345.00,45257.00,55987.00,65274.00,78233.00
